enzyme,drug,role
1A2,Diazoxide,substrate
1A2,Fezolinetant,substrate
1A2,PEGASYS(peginterferon alfa-2a),inhibitor
1A2,alosetron,substrate
1A2,amiodarone,inhibitor
1A2,beta-naphthoflavone,inducer
1A2,broccoli,inducer
1A2,brussel sprouts,inducer
1A2,caffeine,substrate
1A2,carbamazepine,inducer
1A2,cimetidine,inhibitor
1A2,ciprofloxacin,inhibitor
1A2,clomipramine,substrate
1A2,clozapine,substrate
1A2,cyclobenzaprine,substrate
1A2,duloxetine,substrate
1A2,efavirenz,inhibitor
1A2,estradiol,substrate
1A2,fluvoxamine,inhibitor
1A2,fluvoxamine,substrate
1A2,furafylline,inhibitor
1A2,haloperidol,substrate
1A2,imipramine,substrate
1A2,lidocaine,substrate
1A2,melatonin,substrate
1A2,methoxsalen,inhibitor
1A2,mexiletine,inhibitor
1A2,mexiletine,substrate
1A2,nabumetone,substrate
1A2,naproxen,substrate
1A2,olanzapine,substrate
1A2,omeprazole,inducer
1A2,phenacetin,substrate
1A2,pirfenidone,substrate
1A2,pomalidomide,substrate
1A2,propranolol,substrate
1A2,quercetin,inhibitor
1A2,ribociclib,inhibitor
1A2,rifampin,inducer
1A2,riluzole,substrate
1A2,roflumilast,substrate
1A2,ropivacaine,substrate
1A2,rucaparib,inhibitor
1A2,simeprevir,inhibitor
1A2,tacrine,substrate
1A2,tasimelteon,substrate
1A2,teriflunomide,inducer
1A2,theophylline,substrate
1A2,tipranavir and ritonavir,inducer
1A2,tizanidine,substrate
1A2,tobacco,inducer
1A2,triamterene,substrate
1A2,vemurafenib,inhibitor
1A2,viloxazine,inhibitor
1A2,warfarin,substrate
1A2,zileuton,inhibitor
1A2,zileuton,substrate
1A2,zolmitriptan,substrate
2B6,artemether,substrate
2B6,artemisinin,inducer
2B6,artemisinin,substrate
2B6,bupropion,substrate
2B6,carbamazepine,inducer
2B6,clopidogrel,inhibitor
2B6,cyclophosphamide,substrate
2B6,dabrafenib,inducer
2B6,efavirenz,inducer
2B6,efavirenz,substrate
2B6,ifosphamide,substrate
2B6,ketamine,substrate
2B6,lemborexant,inducer
2B6,meperidine,substrate
2B6,methadone,substrate
2B6,nevirapine,inducer
2B6,nevirapine,substrate
2B6,phenobarbital,inducer
2B6,phenytoin,inducer
2B6,propofol,substrate
2B6,rifampin,inducer
2B6,selegiline,substrate
2B6,thiotepa,inhibitor
2B6,ticlopidine,inhibitor
2B6,tramadol,substrate
2B6,velpatasvir,substrate
2B6,voriconazole,inhibitor
2C19,Pirtobrutinib,inhibitor
2C19,St. John's Wort,inducer
2C19,amitriptyline,substrate
2C19,armodafinil,inhibitor
2C19,atomoxetine,substrate
2C19,brivaracetam,substrate
2C19,carisoprodol,substrate
2C19,cenobamate,inhibitor
2C19,chloramphenicol,inhibitor
2C19,cimetidine,inhibitor
2C19,citalopram,substrate
2C19,clobazam,substrate
2C19,clomipramine,substrate
2C19,clopidogrel,substrate
2C19,cyclophosphamide,substrate
2C19,diazepam,substrate
2C19,doxepin,substrate
2C19,efavirenz,inducer
2C19,enzalutamide,inducer
2C19,escitalopram,substrate
2C19,esomeprazole,inhibitor
2C19,esomeprazole,substrate
2C19,felbamate,inhibitor
2C19,flibanserin,substrate
2C19,fluconazole,inhibitor
2C19,fluoxetine,inhibitor
2C19,fluvoxamine,inhibitor
2C19,hexobarbital,substrate
2C19,imipramine,substrate
2C19,isoniazid,inhibitor
2C19,ketoconazole,inhibitor
2C19,labetalol,substrate
2C19,lansoprazole,substrate
2C19,letermovir,inducer
